id,disease,text,symptoms
Hyperthyroidism_321,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_322,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_323,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_324,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_325,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_326,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_327,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_328,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Hyperthyroidism_329,Hyperthyroidism,"Disease: Hyperthyroidism. Symptoms include: fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation.","fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation"
Hypoglycemia_330,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations"
Hypoglycemia_331,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_332,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_333,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_334,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_335,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_336,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_337,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_338,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Hypoglycemia_339,Hypoglycemia,"Disease: Hypoglycemia. Symptoms include: vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations.","vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Osteoarthristis_340,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking.","joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Osteoarthristis_341,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking.","joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Osteoarthristis_342,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking.","neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Osteoarthristis_343,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking.","joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Osteoarthristis_344,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, hip_joint_pain, swelling_joints, painful_walking.","joint_pain, neck_pain, hip_joint_pain, swelling_joints, painful_walking"
Osteoarthristis_345,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking.","joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking"
Osteoarthristis_346,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking.","joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking"
Osteoarthristis_347,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints.","joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints"
Osteoarthristis_348,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking.","joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Osteoarthristis_349,Osteoarthristis,"Disease: Osteoarthristis. Symptoms include: joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking.","joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Arthritis_350,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking.","muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Arthritis_351,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking.","muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Arthritis_352,Arthritis,"Disease: Arthritis. Symptoms include: stiff_neck, swelling_joints, movement_stiffness, painful_walking.","stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Arthritis_353,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, swelling_joints, movement_stiffness, painful_walking.","muscle_weakness, swelling_joints, movement_stiffness, painful_walking"
Arthritis_354,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, movement_stiffness, painful_walking.","muscle_weakness, stiff_neck, movement_stiffness, painful_walking"
Arthritis_355,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, painful_walking.","muscle_weakness, stiff_neck, swelling_joints, painful_walking"
Arthritis_356,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking.","muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Arthritis_357,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, movement_stiffness.","muscle_weakness, stiff_neck, swelling_joints, movement_stiffness"
Arthritis_358,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking.","muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Arthritis_359,Arthritis,"Disease: Arthritis. Symptoms include: muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking.","muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
(vertigo) Paroymsal  Positional Vertigo_360,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness.","vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_361,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness.","vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_362,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: headache, nausea, spinning_movements, loss_of_balance, unsteadiness.","headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_363,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness.","vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_364,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, spinning_movements, loss_of_balance, unsteadiness.","vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_365,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, loss_of_balance, unsteadiness.","vomiting, headache, nausea, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_366,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, spinning_movements, unsteadiness.","vomiting, headache, nausea, spinning_movements, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_367,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, spinning_movements, loss_of_balance.","vomiting, headache, nausea, spinning_movements, loss_of_balance"
(vertigo) Paroymsal  Positional Vertigo_368,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness.","vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo_369,(vertigo) Paroymsal  Positional Vertigo,"Disease: (vertigo) Paroymsal  Positional Vertigo. Symptoms include: vomiting, headache, nausea, loss_of_balance, unsteadiness.","vomiting, headache, nausea, loss_of_balance, unsteadiness"
Acne_370,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, blackheads, scurring.","skin_rash, pus_filled_pimples, blackheads, scurring"
Acne_371,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, blackheads, scurring.","skin_rash, pus_filled_pimples, blackheads, scurring"
Acne_372,Acne,"Disease: Acne. Symptoms include: pus_filled_pimples, blackheads, scurring.","pus_filled_pimples, blackheads, scurring"
Acne_373,Acne,"Disease: Acne. Symptoms include: skin_rash, blackheads, scurring.","skin_rash, blackheads, scurring"
Acne_374,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, scurring.","skin_rash, pus_filled_pimples, scurring"
Acne_375,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, blackheads.","skin_rash, pus_filled_pimples, blackheads"
Acne_376,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, blackheads, scurring.","skin_rash, pus_filled_pimples, blackheads, scurring"
Acne_377,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, blackheads.","skin_rash, pus_filled_pimples, blackheads"
Acne_378,Acne,"Disease: Acne. Symptoms include: skin_rash, pus_filled_pimples, scurring.","skin_rash, pus_filled_pimples, scurring"
Acne_379,Acne,"Disease: Acne. Symptoms include: skin_rash, blackheads, scurring.","skin_rash, blackheads, scurring"
Urinary tract infection_380,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine.","burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection_381,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine.","burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection_382,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine.","bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection_383,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, foul_smell_of urine, continuous_feel_of_urine.","burning_micturition, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection_384,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, continuous_feel_of_urine.","burning_micturition, bladder_discomfort, continuous_feel_of_urine"
Urinary tract infection_385,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, foul_smell_of urine.","burning_micturition, bladder_discomfort, foul_smell_of urine"
Urinary tract infection_386,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine.","burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection_387,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, continuous_feel_of_urine.","burning_micturition, bladder_discomfort, continuous_feel_of_urine"
Urinary tract infection_388,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine.","bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection_389,Urinary tract infection,"Disease: Urinary tract infection. Symptoms include: burning_micturition, bladder_discomfort, continuous_feel_of_urine.","burning_micturition, bladder_discomfort, continuous_feel_of_urine"
Psoriasis_390,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Psoriasis_391,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Psoriasis_392,Psoriasis,"Disease: Psoriasis. Symptoms include: joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Psoriasis_393,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Psoriasis_394,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Psoriasis_395,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails.","skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails"
Psoriasis_396,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails"
Psoriasis_397,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails"
Psoriasis_398,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Psoriasis_399,Psoriasis,"Disease: Psoriasis. Symptoms include: skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Impetigo_400,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze.","skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
Impetigo_401,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze.","skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
Impetigo_402,Impetigo,"Disease: Impetigo. Symptoms include: high_fever, blister, red_sore_around_nose, yellow_crust_ooze.","high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
Impetigo_403,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, blister, red_sore_around_nose, yellow_crust_ooze.","skin_rash, blister, red_sore_around_nose, yellow_crust_ooze"
Impetigo_404,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, blister, red_sore_around_nose, yellow_crust_ooze.","skin_rash, blister, red_sore_around_nose, yellow_crust_ooze"
Impetigo_405,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze.","skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze"
Impetigo_406,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, high_fever, blister, yellow_crust_ooze.","skin_rash, high_fever, blister, yellow_crust_ooze"
Impetigo_407,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, high_fever, blister, red_sore_around_nose.","skin_rash, high_fever, blister, red_sore_around_nose"
Impetigo_408,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze.","skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
Impetigo_409,Impetigo,"Disease: Impetigo. Symptoms include: skin_rash, blister, red_sore_around_nose, yellow_crust_ooze.","skin_rash, blister, red_sore_around_nose, yellow_crust_ooze"
Fungal infection_410,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions, dischromic _patches.","itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection_411,Fungal infection,"Disease: Fungal infection. Symptoms include: skin_rash, nodal_skin_eruptions, dischromic _patches.","skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection_412,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, nodal_skin_eruptions, dischromic _patches.","itching, nodal_skin_eruptions, dischromic _patches"
Fungal infection_413,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, dischromic _patches.","itching, skin_rash, dischromic _patches"
Fungal infection_414,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions.","itching, skin_rash, nodal_skin_eruptions"
Fungal infection_415,Fungal infection,"Disease: Fungal infection. Symptoms include: skin_rash, nodal_skin_eruptions, dischromic _patches.","skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection_416,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, nodal_skin_eruptions, dischromic _patches.","itching, nodal_skin_eruptions, dischromic _patches"
Fungal infection_417,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, dischromic _patches.","itching, skin_rash, dischromic _patches"
Fungal infection_418,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions.","itching, skin_rash, nodal_skin_eruptions"
Fungal infection_419,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions, dischromic _patches.","itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Allergy_420,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills, watering_from_eyes.","continuous_sneezing, shivering, chills, watering_from_eyes"
Allergy_421,Allergy,"Disease: Allergy. Symptoms include: shivering, chills, watering_from_eyes.","shivering, chills, watering_from_eyes"
Allergy_422,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, chills, watering_from_eyes.","continuous_sneezing, chills, watering_from_eyes"
Allergy_423,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, watering_from_eyes.","continuous_sneezing, shivering, watering_from_eyes"
Allergy_424,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills.","continuous_sneezing, shivering, chills"
Allergy_425,Allergy,"Disease: Allergy. Symptoms include: shivering, chills, watering_from_eyes.","shivering, chills, watering_from_eyes"
Allergy_426,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, chills, watering_from_eyes.","continuous_sneezing, chills, watering_from_eyes"
Allergy_427,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, watering_from_eyes.","continuous_sneezing, shivering, watering_from_eyes"
Allergy_428,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills.","continuous_sneezing, shivering, chills"
Allergy_429,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills, watering_from_eyes.","continuous_sneezing, shivering, chills, watering_from_eyes"
GERD_430,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_431,GERD,"Disease: GERD. Symptoms include: stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain.","stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_432,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, vomiting, cough, chest_pain.","stomach_pain, acidity, vomiting, cough, chest_pain"
GERD_433,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
GERD_434,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain"
GERD_435,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, vomiting, cough.","stomach_pain, acidity, ulcers_on_tongue, vomiting, cough"
GERD_436,GERD,"Disease: GERD. Symptoms include: acidity, ulcers_on_tongue, vomiting, cough, chest_pain.","acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_437,GERD,"Disease: GERD. Symptoms include: stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain.","stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_438,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, vomiting, cough, chest_pain.","stomach_pain, acidity, vomiting, cough, chest_pain"
GERD_439,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
Chronic cholestasis_440,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_441,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_442,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis_443,Chronic cholestasis,"Disease: Chronic cholestasis. Symptoms include: itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes.","itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
